dataset,openml_id,n_samples_orig,n_samples_mod,n_classes,intervention,alpha_orig,r2_orig,alpha_mod,r2_mod,delta_alpha,direction_pred,direction_correct,feature_key,feature_orig,feature_mod,delta_feature,feat_orig_probe_difficulty,feat_orig_class_entropy,feat_orig_label_noise,feat_orig_fisher_ratio,feat_orig_class_imbalance,feat_orig_n_samples,feat_orig_n_features,feat_orig_n_classes,feat_mod_probe_difficulty,feat_mod_class_entropy,feat_mod_label_noise,feat_mod_fisher_ratio,feat_mod_class_imbalance,feat_mod_n_samples,feat_mod_n_features,feat_mod_n_classes
wall-robot-navigation,1497,5000,5000,4,label_noise_20,0.49168813353813345,0.9866870590473406,0.11164164458322022,0.9687799005564819,-0.3800464889549132,-1,1,label_noise,0.1116,0.4004,0.28879999999999995,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,1.097752595296905,1.2855355990096826,0.4004,0.03566460033785098,3.239858906525573,5000,24,4
wall-robot-navigation,1497,5000,5000,4,feature_noise_03,0.49168813353813345,0.9866870590473406,0.3861926597378728,0.9636772374142908,-0.10549547380026064,-1,1,probe_difficulty,0.698161429941845,0.7818898103157148,0.08372838037386976,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,0.7818898103157148,1.1896087337884511,0.2476,0.10269505349755194,6.5667752442996745,5000,24,4
wall-robot-navigation,1497,5000,5000,4,feature_noise_07,0.49168813353813345,0.9866870590473406,0.16402360812898184,0.906204941149727,-0.3276645254091516,-1,1,probe_difficulty,0.698161429941845,0.8917678783959982,0.1936064484541532,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,0.8917678783959982,1.1896087337884511,0.4398,0.07495636215681122,6.5667752442996745,5000,24,4
wall-robot-navigation,1497,5000,8064,4,smote_balance,0.49168813353813345,0.9866870590473406,0.5633002249952664,0.9804990436900634,0.07161209145713299,1,1,class_entropy,1.1896087337884511,1.3862943607198905,0.19668562693143943,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,0.6421986489484738,1.3862943607198905,0.05791170634920635,0.3008319081568054,0.9995042141794744,8064,24,4
wall-robot-navigation,1497,5000,2619,4,class_imbalance,0.49168813353813345,0.9866870590473406,0.3792561558665206,0.9474939397989377,-0.11243197767161284,-1,1,class_entropy,1.1896087337884511,0.7925119342149278,-0.3970967995735233,0.698161429941845,1.1896087337884511,0.1116,0.11104181163032366,6.5667752442996745,5000,24,4,0.49301478798006604,0.7925119342149278,0.09201985490645284,0.11176845729022626,9.98019801980198,2619,24,4
cnae-9,1468,1080,1080,9,label_noise_10,0.33770502999971846,0.7084629600412499,0.23452745494265617,0.6910789889282117,-0.10317757505706229,-1,1,label_noise,0.21481481481481482,0.3314814814814815,0.11666666666666667,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9,0.963975400170316,2.1961167338761913,0.3314814814814815,0.25855662648884875,1.1391304347826088,1080,60,9
cnae-9,1468,1080,1080,9,label_noise_20,0.33770502999971846,0.7084629600412499,0.23284803536721635,0.9554887264323125,-0.10485699463250212,-1,1,label_noise,0.21481481481481482,0.4212962962962963,0.20648148148148146,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9,1.3114267289350099,2.195832802587173,0.4212962962962963,0.18797560974847402,1.1851851851851851,1080,60,9
cnae-9,1468,1080,1080,9,feature_noise_03,0.33770502999971846,0.7084629600412499,0.5090787538527273,0.916718520296989,0.1713737238530088,-1,0,probe_difficulty,0.4542543681690909,0.49527323571783066,0.041018867548739735,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9,0.49527323571783066,2.1972245764362195,0.22314814814814815,0.309491447591434,0.9917355371900827,1080,60,9
cnae-9,1468,1080,1080,9,feature_noise_07,0.33770502999971846,0.7084629600412499,0.3907164948678051,0.8119940174917734,0.05301146486808661,-1,0,probe_difficulty,0.4542543681690909,0.670850915690331,0.21659654752124002,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9,0.670850915690331,2.1972245764362195,0.32314814814814813,0.21052499720493972,0.9917355371900827,1080,60,9
cnae-9,1468,1080,1080,9,smote_balance,0.33770502999971846,0.7084629600412499,0.33770502999971846,0.7084629600412499,0.0,1,0,class_entropy,2.1972245764362195,2.1972245764362195,0.0,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9,0.4542543681690909,2.1972245764362195,0.21481481481481482,0.34838169897925086,0.9917355371900827,1080,60,9
